item_id,stage,entry_time,exit_time
ORD-1001,Order Received,2026-01-05 09:00,2026-01-05 09:15
ORD-1001,QC Check,2026-01-05 09:15,2026-01-05 09:50
ORD-1001,Packing,2026-01-05 09:50,2026-01-05 10:05
ORD-1001,Dispatch,2026-01-05 10:05,2026-01-05 10:20
ORD-1002,Order Received,2026-01-05 09:05,2026-01-05 09:20
ORD-1002,QC Check,2026-01-05 09:20,2026-01-05 12:40
ORD-1002,Packing,2026-01-05 12:40,2026-01-05 12:55
ORD-1002,Dispatch,2026-01-05 12:55,2026-01-05 13:10
ORD-1003,Order Received,2026-01-05 09:10,2026-01-05 09:25
ORD-1003,QC Check,2026-01-05 09:25,2026-01-05 10:00
ORD-1003,Packing,2026-01-05 10:00,2026-01-05 10:15
ORD-1003,Dispatch,2026-01-05 10:15,2026-01-05 10:30
ORD-1004,Order Received,2026-01-05 09:12,2026-01-05 09:30
ORD-1004,QC Check,2026-01-05 09:30,2026-01-05 10:05
ORD-1004,Packing,2026-01-05 10:05,2026-01-05 10:20
ORD-1004,Dispatch,2026-01-05 10:20,2026-01-05 10:35
ORD-1005,Order Received,2026-01-05 09:20,2026-01-05 09:35
ORD-1005,QC Check,2026-01-05 09:35,2026-01-05 13:10
ORD-1005,Packing,2026-01-05 13:10,2026-01-05 13:25
ORD-1005,Dispatch,2026-01-05 13:25,2026-01-05 13:40
ORD-1006,Order Received,2026-01-05 09:22,2026-01-05 09:40
ORD-1006,QC Check,2026-01-05 09:40,2026-01-05 10:15
ORD-1006,Packing,2026-01-05 10:15,2026-01-05 10:30
ORD-1006,Dispatch,2026-01-05 10:30,2026-01-05 10:45
ORD-1007,Order Received,2026-01-05 09:25,2026-01-05 09:42
ORD-1007,QC Check,2026-01-05 09:42,2026-01-05 10:20
ORD-1007,Packing,2026-01-05 10:20,2026-01-05 10:35
ORD-1007,Dispatch,2026-01-05 10:35,2026-01-05 10:50
ORD-1008,Order Received,2026-01-05 09:30,2026-01-05 09:48
ORD-1008,QC Check,2026-01-05 09:48,2026-01-05 10:25
ORD-1008,Packing,2026-01-05 10:25,2026-01-05 10:40
ORD-1008,Dispatch,2026-01-05 10:40,2026-01-05 10:55
ORD-1009,Order Received,2026-01-05 09:33,2026-01-05 09:50
ORD-1009,QC Check,2026-01-05 09:50,2026-01-05 10:28
ORD-1009,Packing,2026-01-05 10:28,2026-01-05 10:43
ORD-1009,Dispatch,2026-01-05 10:43,2026-01-05 10:58
ORD-1010,Order Received,2026-01-05 09:36,2026-01-05 09:53
ORD-1010,QC Check,2026-01-05 09:53,2026-01-05 14:10
ORD-1010,Packing,2026-01-05 14:10,2026-01-05 14:25
ORD-1010,Dispatch,2026-01-05 14:25,2026-01-05 14:40
